id,theme,scenario_id,scenario_text,question_number,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect
1,Gestion et organisation des soins,1,"Mme Lavoie, 62 ans, est admise à l’urgence pour polyurie, polydipsie et perte de poids de 8 kg en 2 mois. ATCD : diabète type 2, HTA, hypercholestérolémie. TA 138/84 mmHg, FR 22/min, FC 104/min, glycémie capillaire 24 mmol/L, cétonurie +.",1,Quelle donnée clinique supplémentaire est prioritaire à recueillir pour compléter l’évaluation?,Le poids habituel,Le niveau de conscience,L’heure du dernier repas,Les ATCD familiaux,B,Correct : L’état neurologique est prioritaire car l’hyperglycémie sévère peut évoluer vers une altération de conscience.,Incorrect : La donnée prioritaire est l’état neurologique.
2,Gestion et organisation des soins,1,"Mme Lavoie, 62 ans, admise à l’urgence pour hyperglycémie sévère.",2,Quelle intervention infirmière est prioritaire à mettre en place?,Administrer l’insuline prescrite,Encourager à boire de l’eau,"Installer un soluté NaCl 0,9 % IV",Encourager à marcher,C,Correct : La réhydratation IV est prioritaire dans la prise en charge de l’acidocétose diabétique.,Incorrect : L’intervention prioritaire est la réhydratation IV.
3,Hors sujet OIIQ – à réviser,1,"Mme Lavoie, 62 ans, admise à l’urgence pour hyperglycémie sévère.",3,Quels résultats indiquent une amélioration de la condition?,Glycémie 20 mmol/L après 1h,TA 100/60 mmHg et FR 28,Diminution cétonurie + conscience normale,Soif persistante,C,Correct : La normalisation de la conscience et la disparition des cétones indiquent une amélioration.,Incorrect : L’amélioration se juge par la conscience et la disparition des cétones.
4,Gériatrie,2,"M. Dubé, 84 ans, en CHSLD, chute récente sans blessure. ATCD : Parkinson, arthrose genou. Marqueurs : démarche instable, rigidité musculaire.",1,Quelle donnée clinique supplémentaire est prioritaire pour l’évaluation du risque de chute?,Force musculaire des jambes,Niveau de douleur,Vision et audition,Historique tabagique,A,Correct : La force musculaire est essentielle pour évaluer la capacité de marche.,Incorrect : La priorité est la force musculaire.
5,Gériatrie,2,"M. Dubé, 84 ans, en CHSLD, risque élevé de chute.",2,Quelle intervention infirmière est la plus appropriée pour prévenir une chute?,Installer des contentions,Encourager la marche seul,Utiliser une marchette adaptée,Donner des analgésiques,C,Correct : La marchette adaptée réduit le risque de chute et favorise l’autonomie.,Incorrect : La meilleure intervention est l’utilisation d’une marchette adaptée.
6,Périnatalité,3,"Mme Tremblay, 29 ans, 2h post-partum, présente saignement vaginal abondant, utérus mou à la palpation, TA 90/55, FC 120/min.",1,Quelle est l’intervention prioritaire immédiate?,Administrer O2 2 L/min,Installer une sonde urinaire,Masser le fond utérin,Administrer des analgésiques,C,Correct : Le massage utérin est la première intervention en cas d’atonie utérine.,Incorrect : L’intervention prioritaire est le massage utérin.
7,Périnatalité,3,"Mme Tremblay, 29 ans, post-partum hémorragique.",2,Quel signe indique une amélioration après l’intervention?,Uterus ferme et saignement diminué,FC 140/min,TA 85/50 mmHg,Persistance lochies abondantes,A,Correct : Un utérus ferme et une diminution du saignement confirment l’efficacité.,Incorrect : L’amélioration est confirmée par utérus ferme et saignement réduit.
8,Pédiatrie,4,"Émile, 7 ans, asthme, arrive à l’urgence avec dyspnée, tirage intercostal, sibilances, saturation O2 88 %.",1,Quelle intervention infirmière est prioritaire?,Installer une perfusion IV,Administrer bronchodilatateur par nébulisation,Mettre sous oxygène 2 L/min,Encourager respiration lente,B,Correct : Le traitement immédiat est le bronchodilatateur inhalé.,Incorrect : L’intervention prioritaire est le bronchodilatateur nébulisé.
9,Pédiatrie,4,"Émile, 7 ans, crise d’asthme.",2,Quel signe clinique indiquerait une amélioration?,FR 38/min,Saturation O2 95 %,Persistances sibilances,Agitation croissante,B,Correct : Une saturation ≥ 95 % montre l’efficacité du traitement.,Incorrect : Le signe d’amélioration est une saturation de 95 %.
10,Santé mentale,5,"Mme Gagnon, 35 ans, consulte à l’urgence pour idées suicidaires. Elle mentionne avoir un plan précis et accès aux moyens.",1,Quelle est l’intervention prioritaire de l’infirmière?,Donner un anxiolytique,Laisser seule pour réfléchir,Assurer surveillance constante,Informer la famille,C,"Correct : La sécurité de la patiente est prioritaire, incluant une surveillance constante.",Incorrect : La priorité est la surveillance constante.
11,Santé mentale,5,"Mme Gagnon, 35 ans, idées suicidaires.",2,Quelle donnée supplémentaire est essentielle pour évaluer le risque suicidaire?,Présence d’un réseau de soutien,Habitudes alimentaires,Niveau de scolarité,Situation financière,A,Correct : Le soutien social est un facteur protecteur essentiel à évaluer.,Incorrect : La donnée essentielle est le réseau de soutien.
12,Hors sujet OIIQ – à réviser,6,"M. Roy, 27 ans, accident de voiture, perte de conscience 2 min, maintenant éveillé mais vomit à répétition. TA 130/80, FC 88, FR 20.",1,Quel signe serait le plus inquiétant d’une détérioration neurologique?,Somnolence croissante,Douleur céphalique,FC 92/min,Anxiété,A,Correct : Une altération de l’état de conscience est un signe de gravité.,Incorrect : Le signe inquiétant est la somnolence croissante.
13,Gestion et organisation des soins,6,"M. Roy, 27 ans, trauma crânien.",2,Quelle intervention est prioritaire?,Mettre sous oxygène 2 L/min,Administrer analgésiques IV,Surveillance neurologique rapprochée,Donner antiémétiques,C,Correct : La priorité est la surveillance neurologique rapprochée pour détecter aggravation.,Incorrect : L’intervention prioritaire est la surveillance neurologique.
14,Pharmacologie / Calculs,7,"Prescription : Ceftriaxone 2 g IV dans 100 mL NaCl 0,9 % en 30 min. Tubulure calibrée à 20 gtt/mL.",1,Quel est le débit à administrer en gouttes/min?,33 gtt/min,67 gtt/min,20 gtt/min,50 gtt/min,B,"Correct : 100 mL / 30 min = 3,33 mL/min × 20 gtt = 67 gtt/min.",Incorrect : Le calcul correct est 67 gtt/min.
15,Hors sujet OIIQ – à réviser,8,"Clinique CLSC : un parent refuse la vaccination de son enfant de 2 ans, invoquant des craintes d’effets secondaires.",1,Quelle est la meilleure intervention infirmière?,Expliquer calmement les bénéfices et risques,Refuser de donner soins,Signaler aux autorités,Ignorer le refus,A,Correct : L’éducation et l’information permettent un choix éclairé.,Incorrect : L’intervention appropriée est l’éducation et l’explication.
1,Urgences / Soins critiques,,,1,Quelle est la voie d'administration la plus rapide pour un médicament en situation d'urgence?,Orale,Intraveineuse,Intramusculaire,Sous-cutanée,B,Correct! La voie intraveineuse permet une absorption immédiate du médicament directement dans la circulation sanguine.,La voie intraveineuse est la plus rapide car le médicament est directement injecté dans la circulation sanguine.
2,Hors sujet OIIQ – à réviser,,,1,Avant d'administrer de la digoxine l'infirmière doit obligatoirement vérifier:,La pression artérielle,Le pouls apical,La température,La glycémie,B,Excellent! Il faut toujours vérifier le pouls apical avant d'administrer de la digoxine car ce médicament peut causer une bradycardie dangereuse.,Il est essentiel de vérifier le pouls apical avant la digoxine car ce médicament peut ralentir dangereusement le rythme cardiaque.
3,Pharmacologie / Calculs,CALC001,,1,Un patient de 70 kg doit recevoir 15 mg/kg de paracétamol. La concentration disponible est de 10 mg/mL. Combien de mL devez-vous administrer?,105 mL,10.5 mL,1050 mL,150 mL,A,Correct! 70 kg × 15 mg/kg = 1050 mg ÷ 10 mg/mL = 105 mL.,Calcul: dose totale = poids × dose/kg puis volume = dose totale ÷ concentration.
4,Gestion et organisation des soins,SC001,M. Dubois 65 ans est hospitalisé aux soins intensifs suite à un infarctus du myocarde. Il présente une pression artérielle de 80/50 mmHg un pouls de 110 bpm et des signes de détresse respiratoire.,1,Quelle est la priorité immédiate dans les soins à M. Dubois?,Administrer un analgésique,Surveiller la diurèse,Améliorer la perfusion tissulaire,Prendre les signes vitaux,C,Correct! Avec une PA basse et une tachycardie la priorité est d'améliorer la perfusion tissulaire pour éviter le choc cardiogénique.,Avec une hypotension et une tachycardie post-infarctus la priorité est d'améliorer la perfusion tissulaire.
5,Gestion et organisation des soins,SC001,,2,Quel signe surveillez-vous prioritairement chez M. Dubois pour détecter une complication?,La température,Les urines,La saturation en oxygène,La douleur,C,Exact! La saturation en oxygène est critique pour détecter une détresse respiratoire ou un œdème pulmonaire.,La surveillance de la saturation permet de détecter rapidement une insuffisance cardiaque ou un œdème pulmonaire.
6,Gestion et organisation des soins,SC001,,3,Quelle information communiquez-vous au médecin en priorité?,La diurèse des dernières heures,L'évolution de la douleur thoracique,Les signes vitaux actuels,L'état émotionnel du patient,C,Parfait! Les signes vitaux reflètent l'état hémodynamique critique et guident les interventions médicales urgentes.,Les signes vitaux sont prioritaires car ils indiquent l'état hémodynamique et guident le traitement d'urgence.
7,Pédiatrie,PED001,Emma 8 mois est admise pour bronchiolite. Elle présente une fréquence respiratoire de 65/min une toux sèche et des tirades sous-costales. Sa saturation est de 88% à l'air ambiant.,1,Quelle est votre priorité immédiate?,Administrer un bronchodilatateur,Mettre l'enfant sous oxygène,Aspirer les sécrétions,Aviser le médecin,B,Correct! Avec une saturation de 88% l'oxygénothérapie est prioritaire pour corriger l'hypoxémie.,Une saturation de 88% nécessite une oxygénothérapie immédiate chez un nourrisson.
8,Pédiatrie,PED001,,2,Quel signe indique une aggravation de l'état respiratoire d'Emma?,Pleurs intermittents,Battements des ailes du nez,Température à 38°C,Refus de biberon,B,Exact! Le battement des ailes du nez est un signe de détresse respiratoire chez le nourrisson.,Le battement des ailes du nez indique un effort respiratoire important et une détresse respiratoire.
9,Gestion et organisation des soins,OBS001,Sarah 26 ans G2P1 à 38 semaines de grossesse présente des contractions régulières aux 3 minutes depuis 2 heures. Le col est dilaté à 6 cm et les membranes sont rompues depuis 1 heure.,1,Quelle surveillance est prioritaire?,La pression artérielle maternelle,Le rythme cardiaque fœtal,La température maternelle,L'évolution de la dilatation,B,Correct! Avec rupture des membranes la surveillance du RCF est prioritaire pour détecter une souffrance fœtale.,Après rupture des membranes le risque de souffrance fœtale augmente nécessitant une surveillance continue du RCF.
10,Hors sujet OIIQ – à réviser,OBS001,,2,Quel signe vous inquiéterait le plus chez Sarah?,Contractions douloureuses,Liquide amniotique teinté,Envie de pousser,Fatigue importante,B,Exact! Le liquide amniotique teinté peut indiquer une souffrance fœtale nécessitant une intervention rapide.,Le liquide amniotique teinté (méconium) peut signaler une hypoxie fœtale nécessitant une surveillance accrue.
11,Gériatrie,GER001,M. Martin 85 ans présente une démence modérée. Il refuse de prendre ses médicaments ce matin et repousse l'infirmière en criant.,1,Quelle est votre première intervention?,Maintenir le patient et administrer les médicaments,Explorer la cause du refus,Aviser le médecin pour une médication sédative,Demander à la famille d'intervenir,B,Correct! Il faut toujours chercher à comprendre la cause du refus avant d'envisager d'autres interventions.,Chez une personne démente il faut d'abord explorer les causes du refus (douleur peur inconfort) avant d'agir.
12,Gériatrie,GER001,,2,Comment adaptez-vous votre approche avec M. Martin?,Parler fort et clairement,Utiliser des phrases courtes et simples,Expliquer longuement l'importance du traitement,Déléguer à un autre soignant,B,Parfait! Les phrases courtes et simples facilitent la compréhension chez les personnes avec troubles cognitifs.,L'adaptation de la communication avec des phrases simples améliore la compréhension et réduit l'anxiété.
13,Santé mentale,SM001,Julie 19 ans est hospitalisée pour anorexie mentale. Son IMC est de 15 kg/m². Elle refuse de manger et pratique des exercices en cachette dans sa chambre.,1,Quelle est votre priorité dans les soins?,Négocier les repas avec elle,Assurer une surveillance constante,Encourager l'activité physique modérée,Respecter son autonomie alimentaire,B,Correct! Avec un IMC critique la surveillance constante est nécessaire pour prévenir les complications.,Un IMC de 15 kg/m² représente un danger vital nécessitant une surveillance stricte et continue.
14,Santé mentale,SM001,,2,Quel comportement adoptez-vous pendant les repas?,Laisser Julie manger seule pour respecter son intimité,Rester présente mais sans commentaire sur la nourriture,Encourager verbalement chaque bouchée,Menacer de conséquences si elle ne mange pas,B,Exact! Une présence rassurante sans pression sur l'alimentation favorise un climat de confiance.,La présence bienveillante sans commentaires évite la confrontation tout en assurant la surveillance.
15,Pharmacologie / Calculs,CALC002,,1,Un patient doit recevoir une perfusion de dopamine à 5 mcg/kg/min. Il pèse 80 kg. La concentration est de 400 mg dans 250 mL. Quel est le débit en mL/h?,15 mL/h,1.5 mL/h,150 mL/h,0.15 mL/h,A,Correct! 80 kg × 5 mcg/kg/min = 400 mcg/min = 24 mg/h. 24 mg ÷ 1.6 mg/mL = 15 mL/h.,Calcul: dose totale/min × 60 = dose/h puis dose/h ÷ concentration = débit en mL/h.
16,Hors sujet OIIQ – à réviser,CHIR001,M. Leblanc 45 ans revient de bloc opératoire après une cholécystectomie laparoscopique. Il se plaint d'une douleur à l'épaule droite cotée à 6/10.,1,Cette douleur à l'épaule est probablement due à:,Une mauvaise position opératoire,L'irritation du diaphragme par le CO2,Une complication chirurgicale,L'effet de l'anesthésie,B,Correct! Le CO2 insufflé pendant la laparoscopie irrite le diaphragme causant une douleur référée à l'épaule.,Le gaz carbonique utilisé en laparoscopie irrite le diaphragme provoquant une douleur référée à l'épaule.
17,Hors sujet OIIQ – à réviser,CHIR001,,2,Pour soulager cette douleur quelle position recommandez-vous?,Décubitus dorsal strict,Position semi-assise,Décubitus latéral gauche,Position de Trendelenburg,C,Exact! La position latérale gauche aide à déplacer le gaz résiduel et diminue l'irritation diaphragmatique.,Le décubitus latéral gauche favorise la migration du CO2 résiduel et diminue l'irritation du diaphragme.
18,Gestion et organisation des soins,CARD001,Mme Rousseau 68 ans présente une fibrillation auriculaire. Elle prend de la warfarine. Son INR ce matin est de 4.5.,1,Quelle est votre action prioritaire?,Administrer la dose habituelle de warfarine,Arrêter temporairement la warfarine,Doubler la dose de warfarine,Administrer de la vitamine K,B,Correct! Un INR à 4.5 indique un surdosage nécessitant l'arrêt temporaire pour éviter les hémorragies.,Un INR > 4 augmente significativement le risque hémorragique et nécessite l'arrêt du traitement.
19,Gestion et organisation des soins,CARD001,,2,Quel signe surveillez-vous prioritairement?,Les signes de thrombose,Les signes d'hémorragie,L'efficacité cardiaque,La fonction rénale,B,Parfait! Avec un INR élevé la surveillance hémorragique est prioritaire (epistaxis ecchymoses saignements).,Un INR élevé prédispose aux hémorragies qui peuvent être fatales si non détectées rapidement.
20,Hors sujet OIIQ – à réviser,NEURO001,M. Petit 55 ans est admis pour AVC ischémique. Il présente une hémiparésie gauche et des troubles de la déglutition.,1,Avant de donner à boire quelle évaluation effectuez-vous?,Test de déglutition avec de l'eau,Vérification de la conscience,Auscultation pulmonaire,Prise de la température,A,Correct! Un test de déglutition préalable évalue le risque d'aspiration chez un patient post-AVC.,Les troubles de déglutition post-AVC nécessitent une évaluation spécifique avant toute prise orale.
21,Hors sujet OIIQ – à réviser,NEURO001,,2,Quelle position adoptez-vous pour l'alimentation?,Décubitus dorsal,Position assise à 90°,Décubitus latéral,Position semi-assise à 45°,B,Exact! La position assise favorise la déglutition et réduit le risque d'aspiration.,La position assise optimise la mécanique de déglutition et minimise les risques d'aspiration.
22,Hors sujet OIIQ – à réviser,ENDO001,M. Ahmed diabétique type 1 présente une glycémie à 2.8 mmol/L. Il est conscient mais confus et diaphorétique.,1,Quelle est votre intervention immédiate?,Administrer de l'insuline,Donner 15g de glucides simples,Appeler le médecin,Vérifier la glycémie dans 1 heure,B,Correct! Une hypoglycémie consciente se traite par 15g de glucides à action rapide.,L'hypoglycémie symptomatique nécessite un traitement immédiat par des glucides rapides.
23,Hors sujet OIIQ – à réviser,ENDO001,,3,Après 15 minutes la glycémie est à 3.2 mmol/L. Que faites-vous?,Donner à nouveau 15g de glucides,Administrer du glucose IV,Donner une collation complexe,Attendre 15 minutes supplémentaires,A,Exact! Si la glycémie reste sous 4 mmol/L il faut répéter l'administration de 15g de glucides.,Le protocole d'hypoglycémie prévoit de répéter 15g de glucides si la glycémie reste < 4 mmol/L.
24,Gestion et organisation des soins,PNEUMO001,Mme Caron 72 ans MPOC sévère présente une dyspnée au repos. Sa saturation est de 85% sous 2L d'O2.,1,Quelle est votre action prioritaire?,Augmenter l'oxygène à 6L,Augmenter progressivement l'O2 à 4L,Placer en position de Fowler,Administrer un bronchodilatateur,C,Correct! La position de Fowler optimise la ventilation avant d'ajuster l'oxygénothérapie.,Chez un patient MPOC la position est prioritaire car elle améliore immédiatement la mécanique ventilatoire.
25,Pharmacologie / Calculs,PNEUMO001,,2,Pourquoi évitez-vous un débit d'O2 trop élevé chez cette patiente?,Risque de toxicité à l'oxygène,Risque de dépression respiratoire,Assèchement des muqueuses,Coût économique,B,Parfait! Chez les MPOC l'hypoxie stimule la respiration un excès d'O2 peut déprimer le centre respiratoire.,Les patients MPOC dépendent de l'hypoxie pour stimuler leur respiration l'excès d'O2 peut être dangereux.
26,Hors sujet OIIQ – à réviser,NEPHRO001,M. Roy en hémodialyse chronique présente un gain de poids de 4 kg depuis la dernière séance. Il se plaint d'essoufflement.,1,Ce tableau évoque principalement:,Une infection respiratoire,Une surcharge volémique,Une embolie pulmonaire,Une crise hypertensive,B,Correct! Le gain de poids inter-dialyse avec dyspnée évoque une surcharge hydrique.,Chez un dialysé le gain de poids rapide avec dyspnée indique une rétention hydrique excessive.
27,Hors sujet OIIQ – à réviser,NEPHRO001,,2,Quelle surveillance renforcez-vous?,La diurèse,La pression artérielle,La température,La glycémie,B,Exact! La surcharge volémique s'accompagne souvent d'hypertension nécessitant une surveillance étroite.,La surcharge hydrique provoque une élévation tensionnelle pouvant être dangereuse.
28,Pédiatrie,CALC003,,1,Un enfant de 25 kg doit recevoir de l'amoxicilline 40 mg/kg/jour en 3 prises. Chaque dose contient combien de mg?,333 mg,1000 mg,125 mg,250 mg,A,Correct! 25 kg × 40 mg/kg = 1000 mg/jour ÷ 3 prises = 333 mg par prise.,Dose totale journalière divisée par le nombre de prises donne la dose unitaire.
29,Hors sujet OIIQ – à réviser,HEMA001,Mme Blanc traités par chimiothérapie présente une neutropénie sévère (500 neutrophiles/mm³). Elle développe une fièvre à 38.5°C.,1,Cette situation constitue:,Une urgence médicale,Un effet attendu normal,Une contre-indication à poursuivre,Un signe de guérison,A,Correct! La neutropénie fébrile est une urgence oncologique nécessitant une antibiothérapie immédiate.,Chez un patient neutropénique toute fièvre est potentiellement fatale et nécessite un traitement urgent.
30,Hors sujet OIIQ – à réviser,HEMA001,,2,Quelle précaution renforcez-vous immédiatement?,L'isolement contact,L'isolement protecteur,L'isolement respiratoire,L'isolement entérique,B,Parfait! L'isolement protecteur limite l'exposition aux germes chez un patient immunodéprimé.,La neutropénie sévère nécessite une protection maximale contre les infections nosocomiales.
31,Gestion et organisation des soins,GASTRO001,M. Moreau présente des vomissements post-opératoires persistants. Il n'a pas uriné depuis 8 heures malgré une perfusion de NaCl.,1,Quel paramètre surveillez-vous en priorité?,L'équilibre électrolytique,La diurèse,L'état nutritionnel,La douleur,A,Correct! Les vomissements prolongés provoquent des déséquilibres hydro-électrolytiques dangereux.,Les pertes digestives importantes perturbent l'équilibre électrolytique pouvant causer des arythmies.
32,Hors sujet OIIQ – à réviser,GASTRO001,,2,Quel signe évoque une déshydratation sévère?,Soif intense,Pli cutané persistant,Bouche sèche,Fatigue,B,Exact! Le pli cutané qui persiste > 2 secondes indique une déshydratation importante.,Le test du pli cutané est un indicateur fiable de l'état d'hydratation chez l'adulte.
33,Gestion et organisation des soins,ETHIQUE001,Un patient de 80 ans en fin de vie demande d'arrêter l'alimentation artificielle. Sa famille s'y oppose fermement.,1,Quelle est votre priorité?,Respecter la volonté du patient,Convaincre la famille,Maintenir l'alimentation,Consulter le comité d'éthique,A,Correct! Le principe d'autonomie prime : un patient conscient a le droit de refuser un traitement.,L'autonomie du patient est un principe éthique fondamental qui prime sur les souhaits familiaux.
34,Hors sujet OIIQ – à réviser,ETHIQUE001,,2,Comment gérez-vous le conflit familial?,Ignorer les préoccupations familiales,Organiser une rencontre d'équipe multidisciplinaire,Imposer la décision médicale,Référer uniquement au médecin,B,Parfait! Une approche multidisciplinaire permet un dialogue constructif et un accompagnement approprié.,La médiation multidisciplinaire favorise la compréhension mutuelle et le respect des valeurs de chacun.
35,Gestion et organisation des soins,URG001,Un patient de 45 ans arrive aux urgences avec une douleur thoracique intense irradiant au bras gauche depuis 30 minutes.,1,Quelle est votre priorité absolue?,Installer une voie veineuse,Réaliser un ECG 12 dérivations,Administrer de l'oxygène,Prendre les signes vitaux,B,Correct! L'ECG est l'examen prioritaire pour confirmer ou exclure un infarctus du myocarde.,Dans un contexte de douleur thoracique évocatrice l'ECG permet un diagnostic rapide et guide le traitement.
36,Hors sujet OIIQ – à réviser,URG001,,2,L'ECG montre un sus-décalage en antérieur. Quelle intervention priorisez-vous?,Anticoagulation immédiate,Activation de la filière STEMI,Administration d'antalgiques,Bilan biologique complet,B,Exact! Un STEMI nécessite une reperfusion coronaire urgente via l'activation des protocoles spécialisés.,Le STEMI est une urgence vitale nécessitant une prise en charge spécialisée dans les plus brefs délais.
37,Pharmacologie / Calculs,CALC004,,1,Vous devez préparer une solution de NaCl 0.45%. Vous avez du NaCl 0.9% et de l'eau stérile. Pour 1000 mL combien ajoutez-vous de chaque?,500 mL de chaque,750 mL NaCl + 250 mL eau,250 mL NaCl + 750 mL eau,900 mL NaCl + 100 mL eau,A,Correct! Pour diluer de moitié une solution il faut mélanger volumes égaux de solution mère et de diluant.,Dilution 1:1 - pour diviser la concentration par 2 on mélange des volumes égaux.
38,Gestion et organisation des soins,ONCO001,Mme Garcia reçoit une chimiothérapie. Elle présente des mucites sévères l'empêchant de s'alimenter et de boire.,1,Quelle complication prévenez-vous en priorité?,La dénutrition,La déshydratation,L'infection buccale,La douleur,B,Correct! La déshydratation peut survenir rapidement et compromettre la fonction rénale et l'état général.,L'impossibilité de boire expose à une déshydratation rapide potentiellement fatale.
39,Hors sujet OIIQ – à réviser,ONCO001,,2,Quel soin buccal recommandez-vous?,Bains de bouche à la chlorhexidine,Rinçages au bicarbonate de sodium,Application de xylocaïne,Brossage énergique des dents,B,Exact! Les rinçages alcalins soulagent les mucites et favorisent la cicatrisation.,Le bicarbonate crée un milieu alcalin apaisant et favorise la guérison des muqueuses.
40,Hors sujet OIIQ – à réviser,PSY001,M. Durand présente un épisode dépressif majeur avec idées suicidaires. Il demande à sortir fumer seul dans la cour.,1,Quelle est votre réponse?,Accepter s'il promet de revenir,Refuser catégoriquement,Proposer un accompagnement,Demander l'avis du médecin,C,Correct! L'accompagnement maintient la sécurité tout en respectant certains besoins du patient.,Avec des idées suicidaires la surveillance constante est nécessaire mais peut être adaptée aux besoins.
41,Santé mentale,PSY001,,2,Comment évaluez-vous le risque suicidaire?,Par des questions indirectes,En demandant directement ses intentions,En observant seulement son comportement,En consultant uniquement le dossier,B,Parfait! L'évaluation directe du risque suicidaire est la méthode la plus fiable et recommandée.,Les questions directes sur les idées suicidaires sont essentielles et ne majorent pas le risque de passage à l'acte.
42,Pharmacologie / Calculs,CALC005,,1,Un patient de 60 kg en choc nécessite de la noradrénaline 0.1 mcg/kg/min. Vous avez des ampoules de 4 mg/4 mL. Pour une concentration finale de 4 mg/50 mL quel est le débit en mL/h?,45 mL/h,4.5 mL/h,0.45 mL/h,450 mL/h,A,Correct! 60 kg × 0.1 mcg/kg/min = 6 mcg/min = 360 mcg/h = 0.36 mg/h. 0.36 mg ÷ 0.08 mg/mL = 4.5 mL/h.,Dose en mg/h divisée par concentration en mg/mL donne le débit en mL/h.
43,Hors sujet OIIQ – à réviser,INFECT001,M. Bernard présente une pneumonie nosocomiale à germes résistants. Il est sous isolement contact.,1,Quelle précaution est essentielle?,Porter un masque N95,Utiliser des gants à usage unique,Limiter les visites à 2 personnes,Désinfecter la chambre quotidiennement,B,Correct! L'isolement contact nécessite des gants pour tout contact avec le patient ou son environnement.,L'isolement contact vise à prévenir la transmission par contact direct ou indirect via les mains.
44,Hors sujet OIIQ – à réviser,INFECT001,,2,Dans quel ordre retirez-vous les équipements de protection?,Gants masque blouse lunettes,Lunettes blouse masque gants,Blouse gants masque lunettes,Gants blouse lunettes masque,A,Exact! On retire d'abord les éléments les plus contaminés (gants) vers les moins contaminés (masque).,L'ordre de retrait va du plus contaminé au moins contaminé pour éviter l'auto-contamination.
45,Hors sujet OIIQ – à réviser,RHUMA001,Mme Lopez 65 ans sous méthotrexate pour polyarthrite rhumatoïde développe une toux sèche et un essoufflement progressif.,1,Cette symptomatologie évoque principalement:,Une infection respiratoire,Une toxicité pulmonaire du méthotrexate,Une embolie pulmonaire,Une insuffisance cardiaque,B,Correct! Le méthotrexate peut causer une pneumopathie interstitielle nécessitant un arrêt immédiat.,La toxicité pulmonaire est un effet indésirable grave du méthotrexate nécessitant un arrêt du traitement.
46,Hors sujet OIIQ – à réviser,RHUMA001,,2,Quelle surveillance renforcez-vous chez cette patiente?,La fonction hépatique,La fonction rénale,La fonction pulmonaire,La numération sanguine,C,Parfait! La surveillance de la fonction pulmonaire est cruciale chez un patient sous méthotrexate avec symptômes respiratoires.,Les patients sous méthotrexate nécessitent une surveillance pulmonaire régulière notamment en cas de symptômes.
47,Gestion et organisation des soins,DERMO001,Un patient présente des brûlures thermiques du 2e degré sur 15% de la surface corporelle.,1,Quelle est votre priorité initiale?,Refroidir les brûlures à l'eau froide,Appliquer des pansements gras,Administrer des antalgiques,Calculer les besoins hydriques,A,Correct! Le refroidissement immédiat limite l'extension des lésions et soulage la douleur.,Le refroidissement précoce stoppe la progression thermique et diminue la profondeur des brûlures.
