id,theme,scenario_id,scenario_text,question_number,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect
48,Pharmacologie / Calculs,DERMO001,,2,Comment calculez-vous la surface brûlée chez l'adulte?,Règle des 9,Règle des 5,Table de Lund et Browder,Estimation visuelle,A,Exact! La règle des 9 est la méthode standard pour estimer rapidement la surface brûlée chez l'adulte.,La règle des 9 divise le corps en zones de 9% permettant une estimation rapide et fiable.
49,Hors sujet OIIQ – à réviser,ORL001,Un enfant de 3 ans présente une dysphagie brutale avec hypersialorrhée et fièvre. Il refuse de s'allonger.,1,Vous suspectez principalement:,Une angine streptococcique,Une épiglottite aiguë,Un corps étranger œsophagien,Une laryngite,B,Correct! La triade dysphagie-hypersialorrhée-position assise évoque une épiglottite aiguë.,L'épiglottite provoque une dysphagie majeure avec impossibilité d'avaler sa salive et position en tripode.
50,Hors sujet OIIQ – à réviser,ORL001,,2,Quelle est votre conduite à tenir?,Examiner la gorge avec un abaisse-langue,Maintenir l'enfant en position assise,Administrer un anti-inflammatoire,Proposer des boissons fraîches,B,Parfait! Il ne faut jamais allonger un enfant suspect d'épiglottite au risque d'obstruction complète.,La position assise ou en tripode maintient la perméabilité des voies aériennes en cas d'épiglottite.
51,Gestion et organisation des soins,,,1,Quel effet indésirable surveillez-vous prioritairement avec les AINS?,Troubles digestifs,Céphalées,Somnolence,Éruption cutanée,A,Correct! Les AINS peuvent causer des ulcères gastro-duodénaux parfois hémorragiques.,Les AINS inhibent les prostaglandines protectrices de la muqueuse gastrique causant des ulcères.
52,Hors sujet OIIQ – à réviser,,,1,Avant d'administrer de l'insuline vous vérifiez obligatoirement:,La pression artérielle,La glycémie capillaire,La température,Le poids du patient,B,Correct! Il faut toujours vérifier la glycémie avant d'administrer de l'insuline pour éviter une hypoglycémie.,La vérification de la glycémie avant l'insuline prévient les hypoglycémies potentiellement dangereuses.
53,Urgences / Soins critiques,,,1,Quel antidote administrez-vous en cas de surdosage de warfarine avec hémorragie?,Vitamine K,Protamine,Naloxone,Flumazénil,A,Correct! La vitamine K inverse l'effet anticoagulant de la warfarine en cas d'hémorragie.,La vitamine K est l'antidote spécifique de la warfarine et des anti-vitamines K.
54,Hors sujet OIIQ – à réviser,SC002,Mme Tremblay 58 ans est en détresse respiratoire aiguë. Sa saturation est à 78% sous 15L d'O2. Elle présente des sueurs profuses et une cyanose périphérique.,1,Quelle intervention est la plus urgente?,Intuber immédiatement,Poser une voie veineuse,Administrer un diurétique,Réaliser une gazométrie,A,Correct! Avec une saturation à 78% malgré 15L d'O2 l'intubation est vitale pour assurer l'oxygénation.,Une hypoxémie sévère réfractaire à l'oxygénothérapie nécessite une ventilation mécanique urgente.
55,Hors sujet OIIQ – à réviser,SC002,,2,En attendant l'intubation quelle position adoptez-vous?,Décubitus dorsal,Position de Fowler haute,Trendelenburg,Décubitus latéral,B,Exact! La position semi-assise optimise la ventilation et facilite le travail respiratoire.,La position de Fowler améliore l'expansion thoracique et facilite la ventilation.
56,Pédiatrie,PED002,Thomas 2 ans présente une fièvre à 40°C depuis 24h avec des convulsions fébriles. Les parents sont très anxieux.,1,Concernant les convulsions fébriles vous expliquez aux parents:,Elles indiquent toujours une méningite,Elles sont bénignes et fréquentes à cet âge,Elles nécessitent un traitement antiépileptique,Elles provoquent des séquelles neurologiques,B,Correct! Les convulsions fébriles simples sont bénignes et touchent 3-5% des enfants de 6 mois à 5 ans.,Les convulsions fébriles simples sont un phénomène bénin lié à l'immaturité cérébrale sans séquelles.
57,Pédiatrie,PED002,,2,Quelle méthode privilégiez-vous pour faire baisser la fièvre?,Bains d'eau froide,Paracétamol et découvrir l'enfant,Aspirine et couvertures,Alcool à friction,B,Parfait! Le paracétamol associé au déshabillage partiel est la méthode efficace et sûre.,Le paracétamol reste l'antipyrétique de choix chez l'enfant associé à des mesures physiques douces.
58,Hors sujet OIIQ – à réviser,OBS002,Laura 32 ans G1P0 à 41 semaines présente une diminution des mouvements fœtaux depuis 48h. Le monitoring montre un RCF plat.,1,Cette situation évoque:,Un fœtus qui dort,Une souffrance fœtale chronique,Un terme dépassé normal,Une position fœtale particulière,B,Correct! La diminution des mouvements avec RCF plat suggère une hypoxie fœtale nécessitant une évaluation urgente.,La diminution de la variabilité du RCF associée à moins de mouvements évoque une souffrance fœtale.
59,Gestion et organisation des soins,OBS002,,2,Quelle conduite adoptez-vous en priorité?,Programmer l'accouchement dans 24h,Réaliser une échographie de croissance,Déclencher immédiatement le travail,Rassurer et revoir dans 2 jours,C,Exact! La souffrance fœtale à terme nécessite un accouchement immédiat pour éviter la mort fœtale.,Une souffrance fœtale chronique à terme nécessite une extraction fœtale en urgence.
60,Gériatrie,GER002,M. Côté 78 ans chute dans sa chambre. Il se plaint d'une douleur à la hanche droite et ne peut plus se lever.,1,Vous suspectez principalement:,Une contusion simple,Une fracture du col du fémur,Une entorse de hanche,Un hématome musculaire,B,Correct! Chez une personne âgée une chute avec douleur et impotence fonctionnelle évoque une fracture du col.,Les fractures du col fémoral sont fréquentes chez les personnes âgées après chute même minime.
61,Gériatrie,GER002,,2,En attendant les radiographies quelle immobilisation effectuez-vous?,Aucune immobilisation n'est nécessaire,Immobilisation au coussin entre les jambes,Traction continue,Attelle rigide,B,Parfait! L'immobilisation par coussin entre les jambes limite les mouvements et soulage la douleur.,L'immobilisation douce par coussin prévient les déplacements secondaires en attendant la chirurgie.
62,Santé mentale,SM002,Antoine 28 ans en épisode maniaque refuse catégoriquement de prendre ses médicaments. Il est agité et désinhibé.,1,Comment gérez-vous cette situation?,Forcer l'administration par voie IM,Négocier et expliquer longuement,Respecter son refus absolu,Utiliser des moyens coercitifs,B,Correct! La négociation bienveillante en phase maniaque peut permettre l'adhésion sans coercition.,En psychiatrie la relation thérapeutique et la négociation sont privilégiées avant la contrainte.
63,Santé mentale,SM002,,2,Si la négociation échoue et qu'il y a danger quelle est votre recours?,Abandonner le traitement,Demander une ordonnance de traitement sous contrainte,Attendre que la crise passe,Déléguer à la famille,B,Exact! En cas de danger pour soi ou autrui le traitement sous contrainte peut être nécessaire.,La contrainte thérapeutique est possible en psychiatrie si danger avéré et après procédure légale.
64,Urgences / Soins critiques,CALC006,,1,Un patient de 75 kg en arrêt cardiaque nécessite 1 mg/kg d'adrénaline. Vous avez des ampoules de 1 mg/mL. Combien d'ampoules utilisez-vous?,0.75 ampoule,1 ampoule,75 ampoules,7.5 ampoules,C,Correct! 75 kg × 1 mg/kg = 75 mg. Avec des ampoules de 1 mg/mL il faut 75 ampoules.,Dose totale = poids × dose/kg puis nombre d'ampoules = dose totale ÷ contenu par ampoule.
65,Hors sujet OIIQ – à réviser,NEPHRO002,Mme Gagnon en insuffisance rénale chronique stade 4 présente un taux de potassium à 6.2 mEq/L.,1,Cette hyperkaliémie peut provoquer:,Des convulsions,Des troubles du rythme cardiaque,Une hypertension maligne,Un coma hyperosmolaire,B,Correct! L'hyperkaliémie sévère peut causer des arythmies ventriculaires potentiellement fatales.,L'hyperkaliémie altère la conduction cardiaque pouvant provoquer des arythmies mortelles.
66,Urgences / Soins critiques,NEPHRO002,,2,Quel traitement d'urgence administrez-vous?,Calcium intraveineux,Insuline avec glucose,Résines échangeuses d'ions,Hémodialyse d'urgence,A,Exact! Le calcium IV protège le myocarde contre les effets de l'hyperkaliémie en urgence.,Le calcium antagonise les effets cardiaques de l'hyperkaliémie sans modifier la kaliémie.
67,Hors sujet OIIQ – à réviser,PNEUMO002,M. Fournier présente une crise d'asthme sévère. Malgré les bronchodilatateurs sa saturation reste à 88%.,1,Quel signe indique un asthme quasi-fatal?,Toux productive,Silence auscultatoire,Bronchospasme audible,Expectoration mousseuse,B,Correct! Le silence auscultatoire indique un bronchospasme si sévère qu'il n'y a plus de flux d'air.,L'absence de sibilants peut paradoxalement indiquer un asthme très sévère avec obstruction complète.
68,Urgences / Soins critiques,PNEUMO002,,2,Quelle thérapeutique envisagez-vous en urgence?,Augmenter les bronchodilatateurs,Corticoïdes intraveineux,Intubation et ventilation,Kinésithérapie respiratoire,C,Parfait! Un asthme quasi-fatal nécessite souvent une intubation pour assurer la ventilation.,L'asthme quasi-fatal avec hypoxémie réfractaire peut nécessiter une ventilation mécanique.
69,Hors sujet OIIQ – à réviser,CARD002,M. Lavoie 62 ans présente une douleur thoracique avec sueurs. L'ECG montre un bloc AV complet avec FC à 35/min.,1,Cette bradycardie extrême nécessite:,Surveillance simple,Atropine intraveineuse,Pacemaker temporaire,Massage cardiaque,C,Correct! Un bloc AV complet symptomatique nécessite un entraînement électrosystolique temporaire.,Le bloc AV complet avec bradycardie symptomatique est une indication de pacemaker d'urgence.
70,Hors sujet OIIQ – à réviser,CARD002,,2,En attendant le pacemaker quel médicament utilisez-vous?,Dopamine,Atropine,Isoprénaline,Adrénaline,C,Exact! L'isoprénaline est un chronotrope positif efficace en cas de bloc AV complet.,L'isoprénaline stimule les récepteurs bêta et peut améliorer temporairement la fréquence ventriculaire.
71,Hors sujet OIIQ – à réviser,NEURO002,Mme Belanger présente brutalement une hémiparésie droite avec aphasie. Début des symptômes il y a 1 heure.,1,Dans cette fenêtre thérapeutique quelle intervention priorisez-vous?,IRM cérébrale,Fibrinolyse intraveineuse,Anticoagulation,Rééducation précoce,B,Correct! Dans les 4.5h d'un AVC ischémique la fibrinolyse peut restaurer la perfusion cérébrale.,La thrombolyse dans les premières heures d'un AVC peut limiter les séquelles neurologiques.
72,Hors sujet OIIQ – à réviser,NEURO002,,2,Quelle contre-indication absolue vérifiez-vous avant la fibrinolyse?,Âge > 80 ans,Hypertension artérielle,Chirurgie récente < 3 mois,Diabète,C,Parfait! Une chirurgie récente est une contre-indication absolue à la fibrinolyse par risque hémorragique.,Les gestes invasifs récents contre-indiquent formellement la fibrinolyse par risque de saignement.
73,Hors sujet OIIQ – à réviser,ENDO002,M. Hassan diabétique type 2 présente une glycémie à 28 mmol/L avec cétones négatives et déshydratation sévère.,1,Ce tableau évoque:,Une acidocétose diabétique,Un coma hyperosmolaire,Une hypoglycémie sévère,Une acidose lactique,B,Correct! Hyperglycémie majeure sans cétose avec déshydratation évoque un coma hyperosmolaire.,Le coma hyperosmolaire associe hyperglycémie extrême déshydratation et absence de cétose.
74,Gestion et organisation des soins,ENDO002,,2,Quelle est la priorité thérapeutique?,Insuline forte dose,Réhydratation progressive,Correction du potassium,Bicarbonates intraveineux,B,Exact! La réhydratation prudente est prioritaire dans le coma hyperosmolaire avant l'insuline.,La déshydratation majeure du coma hyperosmolaire nécessite une réhydratation très progressive.
75,Hors sujet OIIQ – à réviser,URG002,Un motocycliste arrive conscient avec suspicion de traumatisme rachidien cervical.,1,Quelle immobilisation appliquez-vous?,Collier cervical seul,Immobilisation complète sur plan dur,Position latérale de sécurité,Aucune immobilisation,B,Correct! Un traumatisme cervical nécessite une immobilisation complète rachidienne sur plan dur.,L'immobilisation rachidienne complète prévient l'aggravation des lésions médullaires.
76,Gestion et organisation des soins,URG002,,2,Quel signe neurologique surveillez-vous prioritairement?,Les réflexes tendineux,La sensibilité des membres,La motricité des extrémités,L'état de conscience,D,Parfait! L'état de conscience peut révéler une aggravation neurologique nécessitant une intervention urgente.,La surveillance neurologique prioritaire porte sur la conscience qui peut révéler une complications grave.
77,Hors sujet OIIQ – à réviser,ONCO002,M. Vincent sous chimiothérapie développe une fièvre à 38.8°C. Sa numération montre 800 GB/mm³.,1,Cette situation constitue:,Un effet secondaire mineur,Une neutropénie fébrile,Une infection bénigne,Une réaction allergique,B,Correct! Fièvre + neutropénie < 1000 GB/mm³ = urgence nécessitant antibiothérapie immédiate.,La neutropénie fébrile est une complication grave de la chimiothérapie nécessitant un traitement urgent.
78,Hors sujet OIIQ – à réviser,ONCO002,,2,Quel prélèvement effectuez-vous avant l'antibiothérapie?,Aucun prélèvement,Hémocultures uniquement,ECBU uniquement,Hémocultures et ECBU,D,Exact! Il faut identifier le germe responsable tout en débutant l'antibiothérapie sans délai.,Les prélèvements bactériologiques sont essentiels avant antibiothérapie pour adapter le traitement.
79,Hors sujet OIIQ – à réviser,PSY002,Claire 19 ans présente des signes d'anorexie mentale avec un IMC à 14 kg/m². Elle refuse l'hospitalisation.,1,Légalement vous pouvez:,La forcer à rester contre son gré,Respecter son refus car elle est majeure,L'hospitaliser sous contrainte si danger vital,Prévenir uniquement sa famille,C,Correct! Un IMC à 14 constitue un danger vital justifiant une hospitalisation sous contrainte si nécessaire.,L'anorexie avec danger vital peut justifier une hospitalisation sans consentement pour protéger la vie.
80,Gestion et organisation des soins,PSY002,,2,Quel objectif prioritaire fixez-vous?,Normaliser immédiatement le poids,Stabiliser l'état somatique,Traiter les troubles psychiques,Impliquer la famille,B,Parfait! En phase aiguë la priorité est la stabilisation médicale avant l'approche psychothérapeutique.,Avec un IMC critique la priorité absolue est la stabilisation somatique avant tout travail psychologique.
81,Pharmacologie / Calculs,CALC007,,1,Pour une perfusion de dobutamine à 7.5 mcg/kg/min chez un patient de 70 kg avec une concentration de 250 mg/250 mL quel est le débit?,31.5 mL/h,3.15 mL/h,315 mL/h,0.315 mL/h,A,Correct! 70 kg × 7.5 mcg/kg/min = 525 mcg/min = 31.5 mg/h. 31.5 mg ÷ 1 mg/mL = 31.5 mL/h.,Dose totale par minute × 60 = dose par heure puis divisée par concentration.
82,Hors sujet OIIQ – à réviser,INFECT002,Un patient développe une diarrhée à Clostridium difficile après antibiothérapie.,1,Quel isolement mettez-vous en place?,Isolement respiratoire,Isolement contact,Isolement gouttelettes,Aucun isolement,B,Correct! C. difficile se transmet par contact avec les spores résistantes présentes dans l'environnement.,L'isolement contact prévient la transmission des spores de C. difficile très résistantes dans l'environnement.
83,Hors sujet OIIQ – à réviser,INFECT002,,2,Quel antiseptique utilisez-vous pour l'hygiène des mains?,Solution hydro-alcoolique,Eau et savon uniquement,Chlorhexidine alcoolique,Povidone iodée,B,Exact! Les spores de C. difficile résistent aux solutions hydro-alcooliques seul le lavage au savon est efficace.,Les spores de C. difficile ne sont détruites que par le lavage mécanique à l'eau et au savon.
84,Hors sujet OIIQ – à réviser,RHUMA002,Mme Dubé sous corticothérapie prolongée chute et présente une douleur dorsale intense.,1,Vous suspectez principalement:,Une contusion musculaire,Un tassement vertébral,Une hernie discale,Un lumbago,B,Correct! Les corticoïdes favorisent l'ostéoporose exposant aux tassements vertébraux même après traumatisme mineur.,La corticothérapie prolongée fragilise l'os exposant aux fractures vertébrales pour des traumatismes minimes.
85,Hors sujet OIIQ – à réviser,RHUMA002,,2,Quelle complication redoutez-vous le plus?,La compression médullaire,L'infection secondaire,L'hématome rétropéritonéal,La thrombose veineuse,A,Parfait! Un tassement vertébral peut comprimer la moelle épinière nécessitant une décompression urgente.,La compression médullaire est la complication la plus grave d'un tassement vertébral.
86,Hors sujet OIIQ – à réviser,DERMO002,Un patient présente une réaction cutanée généralisée avec décollement épidermique après prise de sulfamides.,1,Vous suspectez:,Un eczéma de contact,Une nécrolyse épidermique toxique,Un psoriasis en gouttes,Une urticaire géante,B,Correct! Le décollement cutané généralisé après sulfamides évoque une nécrolyse épidermique toxique.,La NET est une réaction cutanée grave avec décollement épidermique souvent liée aux sulfamides.
87,Gestion et organisation des soins,DERMO002,,2,Quelle prise en charge est prioritaire?,Corticoïdes topiques,Transfert en centre de brûlés,Antihistaminiques,Antibiotiques locaux,B,Exact! La NET nécessite des soins spécialisés similaires aux grands brûlés.,La nécrolyse épidermique toxique nécessite une prise en charge spécialisée comme les grands brûlés.
88,Hors sujet OIIQ – à réviser,ORL002,Un enfant de 18 mois présente une toux rauque avec cornage inspiratoire et fièvre modérée.,1,Ce tableau évoque:,Une bronchiolite,Une laryngite sous-glottique,Une pneumonie,Un corps étranger,B,Correct! La toux rauque avec cornage inspiratoire chez un jeune enfant évoque une laryngite sous-glottique.,Le cornage inspiratoire avec toux rauque est caractéristique de l'inflammation sous-glottique.
89,Hors sujet OIIQ – à réviser,ORL002,,2,Quel traitement administrez-vous en première intention?,Antibiotiques,Corticoïdes,Bronchodilatateurs,Antitussifs,B,Parfait! Les corticoïdes réduisent l'inflammation et l'œdème sous-glottique améliorant rapidement les symptômes.,Les corticoïdes sont le traitement de référence de la laryngite sous-glottique pour réduire l'œdème.
90,Hors sujet OIIQ – à réviser,HEPATO001,M. Roy cirrhotique développe une ascite avec augmentation du périmètre abdominal et dyspnée.,1,Quel traitement initial prescrivez-vous?,Diurétiques de l'anse,Diurétiques épargneurs de potassium,Ponction d'ascite évacuatrice,Restriction hydrique stricte,B,Correct! Les diurétiques épargneurs de potassium sont le traitement de première ligne de l'ascite cirrhotique.,La spironolactone antagonise l'aldostérone et constitue le traitement initial de l'ascite.
91,Hors sujet OIIQ – à réviser,HEPATO001,,2,Quelle surveillance biologique renforcez-vous?,La fonction rénale,Les enzymes hépatiques,La coagulation,L'ionogramme,A,Exact! Les diurétiques peuvent altérer la fonction rénale chez les cirrhotiques déjà fragiles.,La surveillance de la créatinine est essentielle car les cirrhotiques risquent l'insuffisance rénale.
92,Pédiatrie,CALC008,,1,Un enfant de 15 kg doit recevoir du paracétamol 15 mg/kg toutes les 6h. Combien de mg par jour?,225 mg,900 mg,450 mg,1800 mg,B,Correct! 15 kg × 15 mg/kg = 225 mg par prise. 4 prises/jour = 900 mg/jour.,Dose par prise multipliée par le nombre de prises quotidiennes.
93,Urgences / Soins critiques,URO001,M. Lebel 55 ans présente une rétention urinaire aiguë avec globe vésical et douleurs hypogastriques.,1,Quelle intervention réalisez-vous en urgence?,Massage vésical,Sondage vésical,Antispasmodiques,Position debout,B,Correct! La rétention aiguë nécessite un drainage vésical immédiat pour éviter les complications.,Le sondage vésical évacue l'urine retenue et soulage immédiatement le patient.
94,Hors sujet OIIQ – à réviser,URO001,,2,Quelle complication prévenez-vous par le sondage?,L'infection urinaire,La rupture vésicale,L'incontinence,L'hématurie,B,Parfait! La distension vésicale extrême peut provoquer une rupture de vessie potentiellement mortelle.,La rétention aiguë non traitée peut mener à la rupture vésicale par surdistension.
95,Hors sujet OIIQ – à réviser,ENDO003,Mme Côté hyperthyroïdienne présente une température à 40°C tachycardie et agitation extrême.,1,Vous suspectez:,Une infection intercurrente,Une crise thyréotoxique,Un surdosage médicamenteux,Une déshydratation,B,Correct! Hyperthermie tachycardie et agitation chez un hyperthyroïdien évoque une crise thyréotoxique.,La crise thyréotoxique associe hyperthermie tachycardie et troubles neuropsychiatriques.
96,Urgences / Soins critiques,ENDO003,,2,Quel traitement débutez-vous en urgence?,Antithyroïdiens de synthèse,Bêta-bloquants,Corticoïdes,Iode radioactif,B,Exact! Les bêta-bloquants contrôlent rapidement les effets cardiovasculaires de la crise thyréotoxique.,Les bêta-bloquants sont le traitement symptomatique immédiat de la crise thyréotoxique.
97,Hors sujet OIIQ – à réviser,PNEUMO003,Un patient présente un pneumothorax spontané avec dyspnée et douleur thoracique brutales.,1,Quel signe recherchez-vous à l'examen?,Wheezing expiratoire,Abolition du murmure vésiculaire,Crépitants bilatéraux,Frottement pleural,B,Correct! L'abolition du murmure vésiculaire du côté atteint confirme le pneumothorax.,Le pneumothorax provoque une abolition des bruits respiratoires du côté de l'épanchement aérien.
98,Hors sujet OIIQ – à réviser,PNEUMO003,,2,Si le pneumothorax est supérieur à 20% que faites-vous?,Surveillance simple,Oxygénothérapie seule,Drainage pleural,Kinésithérapie respiratoire,C,Parfait! Un pneumothorax > 20% nécessite un drainage pleural pour réexpansion pulmonaire.,Les pneumothorax importants nécessitent un drainage pour évacuer l'air et permettre la réexpansion.
99,Gestion et organisation des soins,CARD003,M. Morin présente des palpitations avec pouls irrégulier. L'ECG montre une fibrillation auriculaire rapide.,1,Votre priorité immédiate est:,Cardioversion électrique,Contrôle de la fréquence cardiaque,Anticoagulation systématique,Recherche d'une cardiopathie,B,Correct! En FA rapide le contrôle de fréquence par bêta-bloquants ou digoxine est prioritaire.,Le contrôle de la fréquence ventriculaire améliore rapidement les symptômes et l'hémodynamique.
100,Hors sujet OIIQ – à réviser,CARD003,,2,Quel médicament utilisez-vous pour ralentir la fréquence?,Amiodarone,Métoprolol,Flécaïnide,Vérapamil,B,Exact! Les bêta-bloquants comme le métoprolol sont efficaces pour contrôler la fréquence en FA.,Les bêta-bloquants freinent la conduction AV et ralentissent efficacement la réponse ventriculaire.
101,Gestion et organisation des soins,NEURO003,Mme Bernard présente des céphalées brutales en coup de tonnerre avec raideur de nuque.,1,Vous suspectez en priorité:,Une migraine sévère,Une hémorragie méningée,Une méningite bactérienne,Une hypertension intracrânienne,B,Correct! La céphalée brutale en coup de tonnerre avec signes méningés évoque une hémorragie sous-arachnoïdienne.,La céphalée brutale maximale d'emblée est caractéristique de l'hémorragie méningée.
102,Urgences / Soins critiques,NEURO003,,2,Quel examen demandez-vous en urgence?,IRM cérébrale,Scanner cérébral sans injection,Ponction lombaire,EEG,B,Parfait! Le scanner sans injection détecte rapidement le sang dans les espaces méningés.,Le scanner cérébral sans injection est l'examen de première intention pour diagnostiquer une hémorragie.
103,Hors sujet OIIQ – à réviser,INFECT003,Un patient développe un choc septique avec hypotension et tachycardie malgré le remplissage.,1,Quel traitement vasopresseur débutez-vous?,Dopamine,Noradrénaline,Adrénaline,Dobutamine,B,Correct! La noradrénaline est le vasopresseur de première ligne dans le choc septique.,La noradrénaline corrige l'hypotension par vasoconstriction sans trop augmenter la fréquence cardiaque.
104,Hors sujet OIIQ – à réviser,INFECT003,,2,Dans quel délai débutez-vous l'antibiothérapie?,Dans les 6 heures,Dans l'heure qui suit,Dans les 24 heures,Après documentation bactériologique,B,Exact! L'antibiothérapie doit être débutée dans l'heure suivant le diagnostic de choc septique.,Le pronostic du choc septique dépend de la précocité de l'antibiothérapie (< 1 heure).
105,Pharmacologie / Calculs,CALC009,,1,Vous préparez une seringue de morphine 1 mg/mL pour un pousse-seringue à 2 mL/h. Quelle dose horaire le patient reçoit-il?,1 mg/h,2 mg/h,0.5 mg/h,4 mg/h,B,Correct! 2 mL/h × 1 mg/mL = 2 mg/h.,Débit en mL/h multiplié par la concentration en mg/mL donne la dose en mg/h.
106,Hors sujet OIIQ – à réviser,ETHIQUE002,Une patiente de 16 ans enceinte demande une IVG sans en parler à ses parents. Elle est accompagnée de son copain majeur.,1,Légalement vous devez:,Exiger l'autorisation parentale,Respecter sa demande de confidentialité,Prévenir obligatoirement les parents,Refuser l'intervention,B,Correct! Les mineures ont droit à la confidentialité pour les soins liés à la sexualité et reproduction.,Le droit à la confidentialité des mineures est protégé pour les questions de santé reproductive.
107,Hors sujet OIIQ – à réviser,ETHIQUE002,,2,Quel accompagnement proposez-vous?,Imposer une consultation psychologique,Suggérer un délai de réflexion,Proposer un soutien et une écoute,Décourager sa décision,C,Parfait! L'accompagnement bienveillant et l'écoute sans jugement sont essentiels dans cette situation.,L'approche empathique et le soutien sont primordiaux pour accompagner une décision difficile.
108,Gestion et organisation des soins,URG003,Un patient arrive avec une plaie par balle à l'abdomen. Il est conscient mais pâle avec une PA à 90/60 mmHg.,1,Quelle est votre priorité absolue?,Examiner la plaie en détail,Mettre en place deux voies veineuses,Administrer des antalgiques,Préparer pour la chirurgie,B,Correct! Un trauma abdominal avec choc nécessite un remplissage vasculaire immédiat via deux voies veineuses.,L'accès vasculaire est prioritaire en trauma pour permettre la réanimation et l'administration de produits sanguins.
109,Hors sujet OIIQ – à réviser,URG003,,2,Que suspectez-vous principalement?,Une perforation intestinale,Un hémopéritoine,Une péritonite,Un hématome rétropéritonéal,B,Exact! Plaie abdominale + choc évoque un saignement intra-abdominal avec hémopéritoine.,Les plaies abdominales pénétrantes provoquent souvent des hémorragies internes massives.
110,Pédiatrie,PED003,Léa 6 mois présente des vomissements en jet non bilieux après chaque biberon depuis 3 jours. Elle perd du poids.,1,Ce tableau évoque principalement:,Une gastro-entérite virale,Une sténose hypertrophique du pylore,Un reflux gastro-œsophagien,Une invagination intestinale,B,Correct! Vomissements en jet non bilieux chez un nourrisson évoque une sténose du pylore.,La sténose du pylore provoque des vomissements alimentaires en jet caractéristiques.
111,Pédiatrie,PED003,,2,Quel signe clinique recherchez-vous à la palpation?,Une masse abdominale,Un météorisme,Une olive pylorique,Une douleur diffuse,C,Parfait! L'olive pylorique est le signe pathognomonique de la sténose hypertrophique du pylore.,La palpation de l'olive pylorique confirme le diagnostic de sténose du pylore.
112,Hors sujet OIIQ – à réviser,OBS003,Marina 25 ans G1P0 à 28 SA présente des contractions douloureuses et un col raccourci à 2 cm. Membranes intactes.,1,Vous suspectez:,Un faux travail,Une menace d'accouchement prématuré,Un décollement placentaire,Une rupture utérine,B,Correct! Contractions avec modifications cervicales avant 37 SA définit la menace d'accouchement prématuré.,Les modifications cervicales avec contractions avant terme caractérisent la MAP.
113,Gestion et organisation des soins,OBS003,,2,Quel traitement administrez-vous en priorité?,Tocolytiques,Corticoïdes anténatals,Antibiotiques,Sulfate de magnésium,A,Exact! Les tocolytiques freinent les contractions utérines pour retarder l'accouchement.,Les tocolytiques sont le traitement immédiat pour stopper le travail prématuré.
114,Gériatrie,GER003,M. Boucher 82 ans développe brutalement une confusion avec désorientation temporo-spatiale. Hier il était lucide.,1,Cette confusion aiguë évoque principalement:,Une démence débutante,Un delirium,Une dépression masquée,Un AVC lacunaire,B,Correct! La confusion brutale chez une personne âgée évoque un delirium nécessitant la recherche d'une cause.,Le delirium se caractérise par une altération aiguë et fluctuante de la conscience.
115,Gériatrie,GER003,,2,Quelle cause recherchez-vous en priorité?,Un trouble métabolique,Une déshydratation,Une infection urinaire,Un fécalome,C,Parfait! L'infection urinaire est la cause la plus fréquente de delirium chez la personne âgée.,Chez les personnes âgées l'infection urinaire peut se manifester uniquement par une confusion.
